CarNumber,Refund,Fines,Make,Model,Year
Y163O8161RUS,2,3200.0,Ford,Focus,1989
E432XX77RUS,1,6500.0,Toyota,Camry,1995
7184TT36RUS,1,2100.0,Ford,Focus,1984
X582HE161RUS,2,2000.0,Ford,Focus,2015
92918M178RUS,1,5700.0,Ford,Focus,2014
H234YH197RUS,2,6000.0,Ford,Focus,1990
E40577152RUS,1,8594.6,Ford,Focus,1988
707987163RUS,2,2200.0,Ford,Focus,2016
K330T8197RUS,2,8200.0,Skoda,Octavia,2018
X786CO96RUS,1,8594.6,Ford,Focus,2000
C477M7161RUS,1,2500.0,Ford,Focus,2000
O21997197RUS,1,2000.0,Ford,Focus,1992
M592CH197RUS,2,8594.6,Skoda,Octavia,1985
9020YC197RUS,2,145000.0,Skoda,Octavia,2018
8182XX154RUS,1,200.0,Ford,Focus,2017
7830C8197RUS,2,8594.6,Ford,Focus,1998
7066C8197RUS,2,15000.0,Volkswagen,Passat,1986
M298CH161RUS,2,8594.6,Ford,Focus,2014
E445TC197RUS,1,8594.6,Ford,Focus,1985
8440XX154RUS,1,6200.0,Ford,Focus,1996
9371CE154RUS,2,8594.6,Skoda,Octavia,2015
9182CE154RUS,2,19800.0,Ford,Focus,2007
83298C154RUS,2,8594.6,Ford,Focus,2013
Y7659C197RUS,2,8594.6,Ford,Focus,1992
C922YE197RUS,2,3800.0,Volkswagen,Golf,1998
7364C8197RUS,2,8594.6,Ford,Focus,1995
M5039X197RUS,2,7400.0,Volkswagen,,1986
8603T8154RUS,1,1500.0,Ford,Focus,2000
92928M178RUS,1,8594.6,Ford,Focus,2006
O672E8197RUS,2,63300.0,Skoda,Octavia,2008
E42277152RUS,2,10600.0,Ford,Focus,1989
C903MC161RUS,1,1600.0,Volkswagen,Jetta,1996
T7318T163RUS,2,12000.0,Toyota,Camry,1980
Y7719C197RUS,1,9200.0,Ford,Focus,1985
T011MY163RUS,1,2000.0,Ford,Focus,1985
H115YO163RUS,1,2200.0,Ford,Focus,2015
73467Y96RUS,1,800.0,Ford,Focus,1984
O134HE197RUS,1,8594.6,Ford,Focus,1992
H968HY161RUS,1,2400.0,Ford,Focus,2010
Y654E8750RUS,1,500.0,Skoda,Octavia,2010
H963HY161RUS,2,2800.0,Ford,Focus,1992
H232YH197RUS,2,8600.0,Ford,Focus,2018
7843C8197RUS,2,12300.0,Ford,Focus,2005
X791O796RUS,1,500.0,Ford,Focus,2012
H958HY161RUS,1,1800.0,Ford,Focus,2006
708587163RUS,2,1400.0,Ford,Focus,2012
Y973O8197RUS,2,8594.6,Ford,Focus,2005
97977H178RUS,1,1000.0,Ford,Focus,1995
H917TC36RUS,2,4000.0,Ford,Focus,1982
X786CO96RUS,1,1000.0,Ford,Focus,1987
Y7709C197RUS,1,500.0,Ford,Focus,2013
8513XX154RUS,1,1500.0,Ford,Focus,1988
T870X7163RUS,2,2000.0,Skoda,Octavia,2019
8818C877RUS,1,2500.0,Volkswagen,Passat,2010
T395OT197RUS,2,8594.6,Volkswagen,Touareg,2004
K327T8197RUS,2,20800.0,Volkswagen,Golf,2005
8311XX154RUS,2,8600.0,Ford,Focus,1980
X423MK197RUS,2,14300.0,Ford,Focus,2005
96429X178RUS,1,2600.0,Ford,Focus,2008
O275O7161RUS,2,16600.0,Ford,Focus,1994
7789KT197RUS,2,12600.0,Ford,Focus,2019
E28877161RUS,1,1000.0,Ford,Focus,1985
T6068M116RUS,1,1000.0,Ford,Focus,1998
9498KX178RUS,2,1600.0,Ford,Focus,2019
99209X178RUS,1,500.0,Skoda,Octavia,2012
T6449O50RUS,2,8594.6,Ford,Focus,1984
9683EC178RUS,2,26000.0,Ford,Focus,2014
Y353O8197RUS,2,21800.0,Ford,Focus,2012
O719MM163RUS,2,2300.0,Ford,Focus,1996
E535MM199RUS,1,500.0,Volkswagen,Touareg,2015
Y352O8197RUS,2,103600.0,Ford,Focus,1981
7788KT197RUS,2,12000.0,Ford,Focus,1981
E807HE77RUS,2,4500.0,Ford,Focus,2007
M516CH161RUS,1,1000.0,Ford,Focus,2013
89587X197RUS,1,8594.6,Toyota,Camry,2012
7781KT197RUS,2,600.0,Ford,Focus,2011
E645TH36RUS,1,2400.0,Ford,Focus,1982
Y302E877RUS,1,500.0,Ford,Focus,2002
M058XE36RUS,2,8500.0,Skoda,Octavia,1990
7830C8197RUS,1,5100.0,Ford,Focus,2009
8166XX154RUS,1,2400.0,Ford,Focus,2005
M589CH197RUS,2,7900.0,Volkswagen,,1997
9408H7178RUS,1,1000.0,Skoda,Octavia,1983
